id,name,ra_deg,dec_deg,mag
7943,HIP 7943,25.514520,35.245707,5.63
7955,Pi  Scl,25.535835,-32.326970,5.25
7963,HIP 7963,25.573725,58.627739,6.35
7965,43    Cas,25.585320,68.043021,5.57
7978,HIP 7978,25.621875,-53.740834,5.52
7981,107    Psc,25.624050,20.268504,5.24
7999,HIP 7999,25.681290,-3.690200,4.98
8016,42    Cas,25.732395,70.622526,5.18
8020,HIP 8020,25.743000,61.421073,6.33
8044,HIP 8044,25.818630,45.322649,6.33
8046,44    Cas,25.832265,60.551332,5.78
8068,Phi Per,25.915125,50.688732,4.01
8086,HIP 8086,25.958940,32.192015,6.32
8094,HIP 8094,25.978320,-4.765514,6.20
8102,52Tau Cet,26.017185,-15.937480,3.49
8115,HIP 8115,26.074755,57.536617,6.18
8127,HIP 8127,26.110530,46.139692,6.32
8143,HIP 8143,26.181990,-6.766164,6.45
8148,HIP 8148,26.192340,57.089226,6.25
8159,109    Psc,26.232615,20.083149,6.27
8198,Torcular,26.348460,9.157736,4.26
8209,Eps Scl,26.411445,-25.052610,5.29
8230,HIP 8230,26.496915,-5.733299,5.37
8233,HIP 8233,26.504385,-27.348831,6.38
8240,HIP 8240,26.524800,-50.816256,5.49
8241,HIP 8241,26.525880,-53.522037,5.04
8320,HIP 8320,26.819580,-41.759926,6.18
8362,HIP 8362,26.935020,63.852501,5.63
8366,Tau2Hyi,26.944365,-80.176311,6.05
8369,HIP 8369,26.949030,-37.159483,6.33
8370,HIP 8370,26.950050,46.229750,6.33
8387,4    Ari,27.045570,16.955551,5.86
8404,HIP 8404,27.108405,3.685447,5.91
8423,HIP 8423,27.162120,37.952870,5.94
8433,HIP 8433,27.173250,32.690210,5.78
8475,HIP 8475,27.314790,47.896924,6.01
8480,HIP 8480,27.330885,-31.072463,6.35
8497,53Chi Cet,27.396270,-10.686410,4.66
8514,HIP 8514,27.453600,-38.402797,6.37
8544,1    Ari,27.535710,22.275338,5.83
8552,HIP 8552,27.583950,-47.816392,6.14
8588,HIP 8588,27.716550,11.043378,5.92
8593,HIP 8593,27.726885,-50.206138,5.94
8598,HIP 8598,27.737970,51.933417,5.96
8641,HIP 8641,27.859815,-39.835935,6.44
8645,Baten Kaitos,27.865140,-10.335038,3.74
8664,HIP 8664,27.907500,-6.874143,6.42
8688,HIP 8688,27.942075,-15.647480,6.44
8704,1    Per,27.997140,55.147385,5.53
8714,2    Per,28.039020,50.792794,5.70
8771,HIP 8771,28.211370,51.474836,6.28
8778,HIP 8778,28.217130,-16.929250,5.78
8796,Mothallah,28.270440,29.578829,3.42
8814,55    And,28.322280,40.729790,5.42
8820,HIP 8820,28.346460,-38.594632,6.09
8832,Mesarthim,28.382550,19.293852,3.88
8833,111Xi  Psc,28.388955,3.187536,4.61
8837,Psi Phe,28.411530,-46.302669,4.39
8847,HIP 8847,28.452045,55.597639,6.44
8882,Phi Phe,28.591830,-42.496950,5.12
8886,Segin,28.598760,63.670101,3.35
